x_easting_m,y_northing_m,z_elevation_m
566672.2080088109,4190605.314219411,124.95537525354969
566672.1192295629,4190605.2754037627,124.95030425963489
566672.0303300354,4190605.2514017853,124.94523326572008
566671.9414648726,4190605.223167332,124.94016227180528
566671.8525997093,4190605.1949328794,124.93509127789046
566671.7637001801,4190605.170930906,124.93002028397567
566671.6749724763,4190605.125766547,124.92494929006085
566671.5860557634,4190605.1038808133,124.91987829614604
566671.4971046849,4190605.0862275586,124.91480730223124
566671.4082738814,4190605.0537606343,124.90973630831643
566671.3194602621,4190605.0191774713,124.90466531440163
566671.2305435471,4190604.997291742,124.89959432048681
566671.1416783789,4190604.9690572983,124.89452332657201
566671.0527788454,4190604.9450553325,124.8894523326572
566670.9639480411,4190604.9125884124,124.8843813387424
566670.8751344183,4190604.8780052536,124.87931034482759
566670.7862005183,4190604.8582357694,124.87423935091277
566670.697318165,4190604.8321175682,124.86916835699797
566670.6084529934,4190604.8038831307,124.86409736308316
566670.519536272,4190604.7819974087,124.85902636916836
566670.4307054639,4190604.749530493,124.85395537525355
566670.3418918373,4190604.7149473415,124.84888438133875
566670.2529751166,4190604.6930616237,124.84381338742394
566670.164109942,4190604.6648271894,124.83874239350912
566670.0751588561,4190604.6471739514,124.83367139959432
566669.9863280448,4190604.6147070425,124.82860040567951
566669.8973769578,4190604.597053805,124.82352941176471
566669.8085289632,4190604.5667031365,124.8184584178499
566669.7197325142,4190604.530003753,124.8133874239351
566669.6307642439,4190604.514466757,124.80831643002028
566669.5419162475,4190604.4841160905,124.80324543610547
566669.4529651583,4190604.466462861,124.79817444219067
566669.3641171607,4190604.436112196,124.79310344827586
566669.2752863443,4190604.4036452943,124.78803245436106
566669.186283708,4190604.3923407816,124.78296146044624
566669.0974357064,4190604.361990121,124.77789046653145
566669.0085533427,4190604.335871938,124.77281947261663
566668.9196022509,4190604.3182187118,124.76774847870182
566668.8306855224,4190604.2963330103,124.76267748478702
566668.7417344298,4190604.2786797853,124.7576064908722
566668.6529207914,4190604.2440966507,124.7525354969574
566668.5639525161,4190604.2285596686,124.7474645030426
566668.4750701493,4190604.2024414907,124.7423935091278
566668.386187782,4190604.1763233156,124.73732251521298
566668.297253869,4190604.156553858,124.73225152129818
566668.2084058617,4190604.1262032064,124.72718052738337
566668.1194204028,4190604.1127824676,124.72210953346855
566668.0305723967,4190604.0824318184,124.71703853955376
566667.9416213003,4190604.064778602,124.71196754563894
566667.8527561115,4190604.036544194,124.70689655172414
566667.7638909221,4190604.008309786,124.70182555780933
566667.6749226428,4190603.992772813,124.69675456389453
